req_id,req_date,req_time,lab_name,parts_in_repair,quantity,status,allotted,pending
3,m,7,0,7,pending
13,m,1,0,1,pending
14,m,2,0,2,pending
16,m,3,0,3,pending
19,m,2,0,2,pending
20,m,3,0,3,pending
21,m,1,0,1,pending
22,m,1,0,1,pending
23,m,1,0,1,pending
24,m,1,0,1,pending
25,m,0,0,0,pending
26,m,1,0,1,pending
27,m,0,0,0,pending
28,m,5,0,5,pending
29,m,0,0,0,pending
30,m,2,0,2,pending
31,m,2,0,2,pending
33,m,7,0,7,pending
35,m,1,0,1,pending
36,m,1,0,1,pending
37,m,2,0,2,"pending
"
39,m,1,0,1,pending
43,m,1,0,1,pending
47,m,3,0,3,pending
